fecha,day_sem,id_operador,id_avion,num_vuelo,origen,destino,horasalidaf,salida_realf,tiempo_trans_vuelo,distancia_millas,hora_llegada_progf,delay2,bandera_delay,count,max,nvue_falt,ind_retraso1,ind_retraso2,ind_retraso3,efecto,sum_efectos_domino,tot_sum_domino,vuelos_afectados,year
2016-01-02,F:SABADO,WN,7819A,6308,MDW,PIT,545,543,80.0,402.0,805,0.0,A:SIN RETRASO,1,8,7,0,,,SIN EFECTO,,,,2016
2016-01-02,F:SABADO,WN,7819A,6308,PIT,BWI,900,900,65.0,210.0,1005,0.0,A:SIN RETRASO,2,8,6,0,0.0,0.0,SIN EFECTO,,,,2016
2016-01-02,F:SABADO,WN,7819A,4917,BWI,PIT,1045,1040,60.0,210.0,1145,0.0,A:SIN RETRASO,3,8,5,0,0.0,0.0,SIN EFECTO,,,,2016
2016-01-02,F:SABADO,WN,7819A,6469,PIT,BWI,1220,1226,60.0,210.0,1320,6.0,B:RETRASO_MENOR10,4,8,4,1,0.0,0.0,SIN EFECTO,1.0,2.0,2.0,2016
2016-01-02,F:SABADO,WN,7819A,4870,BWI,DTW,1345,1405,95.0,409.0,1520,20.0,C:RETRASO_MENOR20,5,8,3,1,1.0,1.0,DOMINO,1.0,2.0,1.0,2016
2016-01-02,F:SABADO,WN,7819A,4870,DTW,MDW,1555,1619,75.0,228.0,1610,24.0,C:RETRASO_MENOR30,6,8,2,1,1.0,1.0,DOMINO,1.0,2.0,0.0,2016
2016-01-02,F:SABADO,WN,7819A,4870,MDW,DCA,1715,1711,105.0,601.0,2000,0.0,A:SIN RETRASO,7,8,1,0,1.0,1.0,SIN EFECTO,,,,2016
2016-01-02,F:SABADO,WN,7819A,4869,DCA,MKE,2050,2049,130.0,634.0,2200,0.0,A:SIN RETRASO,8,8,0,0,0.0,0.0,SIN EFECTO,,,,2016
2016-01-03,G:DOMINGO,WN,7819A,4434,MKE,PHX,605,608,245.0,1460.0,910,3.0,B:RETRASO_MENOR10,1,4,3,1,0.0,,SIN EFECTO,1.0,3.0,3.0,2016
2016-01-03,G:DOMINGO,WN,7819A,4313,PHX,PHL,955,956,265.0,2075.0,1620,1.0,B:RETRASO_MENOR10,2,4,2,1,1.0,1.0,DOMINO,1.0,3.0,2.0,2016
2016-01-03,G:DOMINGO,WN,7819A,4313,PHL,MCO,1655,1714,155.0,861.0,1930,19.0,C:RETRASO_MENOR20,3,4,1,1,1.0,1.0,DOMINO,1.0,3.0,1.0,2016
2016-01-03,G:DOMINGO,WN,7819A,4401,MCO,ORF,2025,2037,110.0,655.0,2215,12.0,C:RETRASO_MENOR20,4,4,0,1,1.0,1.0,DOMINO,1.0,3.0,0.0,2016
2016-01-04,A:LUNES,WN,7819A,1929,ORF,BWI,755,750,55.0,159.0,850,0.0,A:SIN RETRASO,1,6,5,0,1.0,,SIN EFECTO,,,,2016
2016-01-04,A:LUNES,WN,7819A,637,BWI,ABQ,925,942,275.0,1670.0,1200,17.0,C:RETRASO_MENOR20,2,6,4,1,0.0,0.0,SIN EFECTO,1.0,4.0,4.0,2016
2016-01-04,A:LUNES,WN,7819A,637,ABQ,LAS,1235,1409,95.0,486.0,1310,94.0,H:RETRASO_MAYOR60,3,6,3,1,1.0,1.0,DOMINO,1.0,4.0,3.0,2016
2016-01-04,A:LUNES,WN,7819A,637,LAS,DEN,1345,1518,110.0,628.0,1635,93.0,H:RETRASO_MAYOR60,4,6,2,1,1.0,1.0,DOMINO,1.0,4.0,2.0,2016
2016-01-04,A:LUNES,WN,7819A,637,DEN,MKE,1715,1847,130.0,896.0,2025,92.0,H:RETRASO_MAYOR60,5,6,1,1,1.0,1.0,DOMINO,1.0,4.0,1.0,2016
2016-01-04,A:LUNES,WN,7819A,637,MKE,MCO,2115,2213,170.0,1066.0,105,58.0,C:RETRASO_MENOR60,6,6,0,1,1.0,1.0,DOMINO,1.0,4.0,0.0,2016
2016-01-05,B:MARTES,WN,7819A,2322,MCO,ATL,1745,1801,95.0,404.0,1920,16.0,C:RETRASO_MENOR20,1,3,2,1,1.0,,SIN EFECTO,1.0,1.0,1.0,2016
2016-01-05,B:MARTES,WN,7819A,2322,ATL,LAS,1955,2009,285.0,1747.0,2140,14.0,C:RETRASO_MENOR20,2,3,1,1,1.0,1.0,DOMINO,1.0,1.0,0.0,2016
2016-01-05,B:MARTES,WN,7819A,2322,LAS,OAK,2215,2213,90.0,407.0,2345,0.0,A:SIN RETRASO,3,3,0,0,1.0,1.0,SIN EFECTO,,,,2016
2016-01-06,C:MIERCOLES,WN,7819A,1307,RNO,PHX,605,814,110.0,601.0,855,129.0,H:RETRASO_MAYOR60,1,4,3,1,0.0,,SIN EFECTO,1.0,3.0,3.0,2016
2016-01-06,C:MIERCOLES,WN,7819A,1861,PHX,ONT,1540,1553,65.0,325.0,1545,13.0,C:RETRASO_MENOR20,2,4,2,1,1.0,1.0,DOMINO,1.0,3.0,2.0,2016
2016-01-06,C:MIERCOLES,WN,7819A,1863,ONT,PHX,1615,1638,70.0,325.0,1825,23.0,C:RETRASO_MENOR30,3,4,1,1,1.0,1.0,DOMINO,1.0,3.0,1.0,2016
2016-01-06,C:MIERCOLES,WN,7819A,1863,PHX,HOU,1910,1942,145.0,1020.0,2235,32.0,C:RETRASO_MENOR40,4,4,0,1,1.0,1.0,DOMINO,1.0,3.0,0.0,2016
2016-01-07,D:JUEVES,WN,7819A,1678,HOU,BWI,835,837,170.0,1246.0,1225,2.0,B:RETRASO_MENOR10,1,6,5,1,1.0,,SIN EFECTO,1.0,4.0,4.0,2016
2016-01-07,D:JUEVES,WN,7819A,1678,BWI,SDF,1300,1303,110.0,495.0,1450,3.0,B:RETRASO_MENOR10,2,6,4,1,1.0,1.0,DOMINO,1.0,4.0,3.0,2016
2016-01-07,D:JUEVES,WN,7819A,1678,SDF,MDW,1520,1538,70.0,271.0,1530,18.0,C:RETRASO_MENOR20,3,6,3,1,1.0,1.0,DOMINO,1.0,4.0,2.0,2016
2016-01-07,D:JUEVES,WN,7819A,1678,MDW,DTW,1610,1621,70.0,228.0,1820,11.0,C:RETRASO_MENOR20,4,6,2,1,1.0,1.0,DOMINO,1.0,4.0,1.0,2016
2016-01-07,D:JUEVES,WN,7819A,1678,DTW,BNA,1850,1853,100.0,456.0,1930,3.0,B:RETRASO_MENOR10,5,6,1,1,1.0,1.0,DOMINO,1.0,4.0,0.0,2016
2016-01-07,D:JUEVES,WN,7819A,1678,BNA,PNS,2010,2004,80.0,391.0,2130,0.0,A:SIN RETRASO,6,6,0,0,1.0,1.0,SIN EFECTO,,,,2016
2016-01-08,E:VIERNES,WN,7819A,2619,PNS,BNA,740,737,80.0,391.0,900,0.0,A:SIN RETRASO,1,5,4,0,0.0,,SIN EFECTO,,,,2016
2016-01-08,E:VIERNES,WN,7819A,2619,BNA,CLE,945,941,85.0,448.0,1210,0.0,A:SIN RETRASO,2,5,3,0,0.0,0.0,SIN EFECTO,,,,2016
2016-01-08,E:VIERNES,WN,7819A,2619,CLE,BWI,1240,1240,75.0,314.0,1355,0.0,A:SIN RETRASO,3,5,2,0,0.0,0.0,SIN EFECTO,,,,2016
